Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667f0f6e9a841b2d5a75abc9,5ecf23d225c304197454646a,APPROVED,Not Applicable,2024-06-28T19:31:01.859000Z,2024-06-28T19:52:15.861000Z,2024-07-19T00:04:12.216000Z,2024-06-28T19:54:42.865609Z,1275.0,C4F2Q1F2,158,26,Male,White,Canada,Canada,Canada,English,DATA_EXPIRED,DATA_EXPIRED
667f0f8b48b85088673743ff,65c2a7dea70e84a829dc7932,APPROVED,Not Applicable,2024-06-28T19:31:23.466000Z,2024-06-28T19:59:32.917000Z,2024-07-19T00:04:12.988000Z,2024-06-28T19:59:33.697536Z,1690.0,C4F2Q1F2,45,37,Male,Black,Cameroon,France,Cameroon,English,No,Full-Time
667f1010eb90e0b1c490301f,613b9322710788045dec87f5,APPROVED,Not Applicable,2024-06-28T19:34:13.029000Z,2024-06-28T19:55:12.380000Z,2024-07-19T00:04:13.720000Z,2024-06-28T19:55:31.356312Z,1260.0,C4F2Q1F2,239,27,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Full-Time
667f10b07f08b8f783ba32df,66246cd146a6773cc240e6ea,APPROVED,Not Applicable,2024-06-28T19:36:16.676000Z,2024-06-28T20:03:00.325000Z,2024-07-19T00:04:14.902000Z,2024-06-28T20:03:00.943071Z,1604.0,C4F2Q1F2,36,53,Male,White,Chile,Chile,Chile,Spanish,Yes,DATA_EXPIRED
667f126322f0db8564f56cd3,66453daaa7cf09317a5d5ed8,APPROVED,Not Applicable,2024-06-28T19:46:06.801000Z,2024-06-28T20:15:08.826000Z,2024-07-19T00:04:16.164000Z,2024-06-28T20:17:05.331457Z,1743.0,C4F2Q1F2,5,32,Male,White,Mexico,Mexico,Mexico,Spanish,No,Full-Time
667f16f6932eb7cb591a1ac8,60e6e29e480a6e10777ecc64,APPROVED,Not Applicable,2024-06-28T20:03:14.149000Z,2024-06-28T20:41:00.601000Z,2024-07-19T00:04:16.884000Z,2024-06-28T20:41:01.837301Z,2267.0,NOCODE,391,43,Male,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
667f1ab60c4bc4c7f20e1269,667b163baffe1ebea066a248,APPROVED,Not Applicable,2024-06-28T20:19:02.318000Z,2024-06-28T21:19:34.005000Z,2024-07-19T00:04:17.837000Z,2024-06-28T21:19:34.771039Z,3632.0,NOCODE,7,28,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
667f20e000ec05510d59338f,667dd7126e7a9073e0af73fd,APPROVED,Not Applicable,2024-06-28T20:45:20.722000Z,2024-06-28T21:10:03.962000Z,2024-07-19T00:04:18.520000Z,2024-06-28T21:10:04.884626Z,1484.0,NOCODE,8,23,Male,White,Poland,Poland,Poland,Polish,No,Full-Time
667f2157b45bf1f0928fb96f,6604b1a8441e527fc9590694,APPROVED,Not Applicable,2024-06-28T20:47:19.888000Z,2024-06-28T21:14:17.674000Z,2024-07-19T00:04:19.217000Z,2024-06-28T21:14:18.278557Z,1618.0,C4F2Q1F2,107,48,Female,White,Brazil,Brazil,Brazil,Portuguese,Yes,Full-Time
6682f8572bc618f2c5538054,6661b7808dd1cb864550c052,APPROVED,Not Applicable,2024-07-01T18:41:27.342000Z,2024-07-01T19:28:26.742000Z,2024-07-22T00:03:33.637000Z,2024-07-01T19:30:35.874466Z,2820.0,NOCODE,13,21,Female,White,Poland,Poland,Poland,English,Yes,Part-Time
6682f8587bde6b91a35e86c1,5ff4a242cbe069bc27d9278b,APPROVED,Not Applicable,2024-07-01T18:41:38.264000Z,2024-07-01T18:59:54.727000Z,2024-07-22T00:03:35.565000Z,2024-07-01T18:59:55.245719Z,1097.0,C4F2Q1F2,1492,47,Male,White,Italy,Italy,Italy,Italian,No,Full-Time
6682f858b9ec2599e7b7524a,65745708518a6ec1b4773387,APPROVED,Not Applicable,2024-07-01T18:41:28.117000Z,2024-07-01T19:27:05.751000Z,2024-07-22T00:03:34.609000Z,2024-07-01T19:27:10.760070Z,2738.0,NOCODE,277,19,Female,White,Poland,Poland,Poland,Polish,DATA_EXPIRED,DATA_EXPIRED
