Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65025411f8b5354f3d2456ac,62db2644ab0a3a353c0dcb54,APPROVED,2023-09-14T00:30:23.968000Z,2023-09-14T00:49:02.426000Z,2023-09-18T18:19:30.068000Z,2023-09-14T00:49:03.127484Z,1119.0,C4F2Q1F2,1327,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6477c603be2cb76e727421ba,5eb3bd80a1bdb31a2e61ef25,RETURNED,2023-05-31T22:11:15.831000Z,,,,,,66,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c61fccbfa640a3904a8a,5eb6d0b9b0c3f75dfbb5c9e2,RETURNED,2023-05-31T22:11:43.222000Z,,,,,,180,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c67da070ccb3cdd771b8,610ae3c1d6c7bbd2706753f2,RETURNED,2023-05-31T22:13:17.305000Z,,,,,,176,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c689c7ef5d85bace3180,5f80830ca3d4d00b17f89c42,RETURNED,2023-05-31T22:13:35.451000Z,,,,,,185,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c6adc8fec206ff5fa5c1,5cead73185712e00190bcf17,RETURNED,2023-05-31T22:24:05.973000Z,,,,,,435,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c6c20903be3de226a1e5,5eb2edcf0943fe0ac545e824,RETURNED,2023-05-31T22:14:28.889000Z,,,,,,174,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c6d4b38d97af5a5cad65,603102437a7927fc580e5f57,RETURNED,2023-05-31T22:14:50.844000Z,,,,,,316,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c76a0f1f334df546f6e3,6169b980e1967e603eb2943f,RETURNED,2023-05-31T22:18:42.899000Z,,,,,,109,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477c80b2d7dd55973666a13,5fbbe3b8b1dfb90009f86dfa,RETURNED,2023-05-31T22:30:00.079000Z,,,,,,105,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477ca70e651e8d078ad2966,616a9c79079a267ec215c00e,REJECTED,2023-05-31T22:30:14.724000Z,2023-05-31T22:31:01.531000Z,2023-06-14T19:55:01.851000Z,2023-05-31T22:31:02.170000Z,47.0,NOCODE,12,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6477d088c592ea6e11991460,60e07fb75b201859ff688f91,TIMED-OUT,2023-05-31T22:56:13.916000Z,,,,10959961.0,,347,22,Female,Black,South Africa,South Africa,South Africa,English,Yes,Part-Time
6477e31219c3a6c77d5fa58b,5a520774eedc3200014206b4,RETURNED,2023-06-01T00:26:00.055000Z,,,,,,411,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6502433d3fda6ddd4f909fb4,5b14532ce9270900013c5bf6,RETURNED,2023-09-13T23:18:34.065000Z,,,,,,2287,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6502433da7e7783879b2e074,5b258c9ba7cee100011d8aad,RETURNED,2023-09-13T23:28:21.143000Z,,,,,,1343,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6502433f0bc52635f8cc393f,6064e42413bf665d31f0cfbc,TIMED-OUT,2023-09-13T23:18:23.088000Z,,,,1886632.0,,143,18,Male,White,Poland,Poland,Poland,Polish,Yes,Full-Time
6502433f938c61ef629b5739,5f99dc8aa866bf0bf2d60f46,TIMED-OUT,2023-09-13T23:18:27.962000Z,,,,1886627.0,,437,21,Male,White,Hungary,Hungary,Hungary,Hungarian,DATA_EXPIRED,Part-Time
650243429ed3962946c57ba5,5ed7a89895af080896143378,TIMED-OUT,2023-09-13T23:18:26.067000Z,,,,1886629.0,,99,21,Male,White,Portugal,Portugal,Portugal,Portuguese,Yes,Other
65024346edf2d5479d6165d6,612ce93565370e559b6a0a04,RETURNED,2023-09-13T23:18:35.796000Z,,,,,,181,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
65024347004095d3542456de,5d7d467f306346001a7a6844,RETURNED,2023-09-13T23:18:35.399000Z,,,,,,663,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
