Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
644bf957db5025f01ebff403,5efdbee7a4894e2290968531,APPROVED,2023-04-28T16:52:03.862000Z,2023-04-28T17:20:09.578000Z,2023-05-18T17:56:43.347000,2023-04-28T17:20:45.415904Z,1686,C4F2Q1F2,166,24,Male,White,Italy,Italy,Italy,Italian,Yes,Full-Time
644bf9655056a276f5583b82,615cb5f95658bd64d631da08,APPROVED,2023-04-28T16:50:48.100000Z,2023-04-28T17:19:40.829000Z,2023-05-18T17:56:43.506000,2023-04-28T17:20:03.287983Z,1733,C4F2Q1F2,258,33,Male,Other,Mexico,Mexico,Mexico,Spanish,No,Unemployed (and job seeking)
644bf96652d1932944aff37a,5df7a5766887bc54aa8078a9,APPROVED,2023-04-28T16:50:46.601000Z,2023-04-28T17:26:12.585000Z,2023-05-18T17:56:43.666000,2023-04-28T17:26:13.159094Z,2126,C4F2Q1F2,152,22,Female,White,Greece,Greece,Greece,Greek,DATA_EXPIRED,DATA_EXPIRED
644bf967a3f140004e40fff2,5ca08267441b4700179b38d9,APPROVED,2023-04-28T16:50:50.440000Z,2023-04-28T17:20:19.776000Z,2023-05-18T17:56:43.817000,2023-04-28T17:20:51.930988Z,1770,C4F2Q1F2,23,29,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Full-Time
644bf967d55c971898904b30,61366373954c6965f1db1e88,APPROVED,2023-04-28T16:50:47.555000Z,2023-04-28T17:20:01.821000Z,2023-05-18T17:56:43.955000,2023-04-28T17:20:27.943702Z,1755,NOCODE,127,23,DATA_EXPIRED,DATA_EXPIRED,DATA_EXPIRED,Greece,DATA_EXPIRED,DATA_EXPIRED,No,DATA_EXPIRED
644bf96e30c1a88f5de0b8a6,5ee23fe02976ed2df1653b84,APPROVED,2023-04-28T16:51:13.599000Z,2023-04-28T17:23:24.753000Z,2023-05-18T17:56:44.104000,2023-04-28T17:23:25.163516Z,1932,C4F2Q1F2,153,36,Female,Mixed,Mexico,Mexico,Mexico,Spanish,No,Part-Time
644bf97c021baf92e35d2805,5f9197ba39d009000b3d9268,APPROVED,2023-04-28T16:51:08.483000Z,2023-04-28T17:33:05.571000Z,2023-05-18T17:56:44.251000,2023-04-28T17:33:05.954634Z,2518,C4F2Q1F2,336,27,Female,Black,South Africa,South Africa,South Africa,English,Yes,Unemployed (and job seeking)
644bf97deab60e00fe0f2f84,615e056d45156d8d481b5856,APPROVED,2023-04-28T16:51:25.768000Z,2023-04-28T17:55:31.053000Z,2023-05-18T17:56:44.396000,2023-04-28T17:55:31.473104Z,3846,C4F2Q1F2,110,22,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
644bf97ecda08dee1dd2b829,6130cb8deec6aa608767ae81,APPROVED,2023-04-28T16:51:48.540000Z,2023-04-28T17:28:05.646000Z,2023-05-18T17:56:44.586000,2023-04-28T17:28:06.054317Z,2178,C4F2Q1F2,107,25,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
644bf97fbd46cda9b98f26e1,5dbd7193e8add82b72d795f2,APPROVED,2023-04-28T16:51:10.999000Z,2023-04-28T17:24:38.132000Z,2023-05-18T17:56:44.742000,2023-04-28T17:24:38.578260Z,2008,C4F2Q1F2,929,35,Female,White,Switzerland,Switzerland,United States,Italian,No,Unemployed (and job seeking)
644bf982bd46cda9b98f26e4,5e31aeefc549ee023d351eab,APPROVED,2023-04-28T16:51:14.089000Z,2023-04-28T17:21:46.430000Z,2023-05-18T17:56:44.884000,2023-04-28T17:21:56.245326Z,1833,C4F2Q1F2,337,24,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
644bf988c5ad56bd1e721dce,6112ebf45902bc637c76762d,APPROVED,2023-04-28T16:51:37.707000Z,2023-04-28T17:26:52.689000Z,2023-05-18T17:56:45.031000,2023-04-28T17:26:53.092703Z,2115,C4F2Q1F2,106,22,Female,Other,Chile,Chile,Chile,Spanish,Yes,Other
644bf989e7886d3c51016583,5e825a5ece25959797b7d984,APPROVED,2023-04-28T16:51:24.358000Z,2023-04-28T17:21:29.130000Z,2023-05-18T17:56:45.178000,2023-04-28T17:21:47.140717Z,1805,C4F2Q1F2,201,25,Male,White,Italy,Italy,Italy,Italian,Yes,Other
644bf98a540edd6765cf534c,5eea650223990c15b6063ea8,APPROVED,2023-04-28T16:51:22.512000Z,2023-04-28T17:20:05.010000Z,2023-05-18T17:56:45.362000,2023-04-28T17:20:37.310090Z,1723,C4F2Q1F2,269,22,Female,White,Poland,Poland,Poland,Polish,No,Unemployed (and job seeking)
644bf99893016d5b74721d98,600de197658fd23cca8b3bf1,APPROVED,2023-04-28T16:51:36.184000Z,2023-04-28T17:20:44.822000Z,2023-05-18T17:56:45.516000,2023-04-28T17:21:30.269518Z,1749,C4F2Q1F2,191,24,Female,White,Portugal,Portugal,Portugal,Portuguese,Yes,Part-Time
644bf99a17c857f34d941a3d,5fa868c7f98e2a6e8fd9db34,APPROVED,2023-04-28T16:51:38.374000Z,2023-04-28T17:25:10.255000Z,2023-05-18T17:56:45.682000,2023-04-28T17:25:10.630492Z,2012,C4F2Q1F2,191,28,Male,White,Poland,Poland,Poland,Polish,No,Part-Time
644bf99a854361b95257e822,605cd551d618f49bed982798,APPROVED,2023-04-28T16:55:57.313000Z,2023-04-28T17:27:10.430000Z,2023-05-18T17:56:45.859000,2023-04-28T17:27:10.857116Z,1874,C4F2Q1F2,110,23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
644bf9a590e36ec7923f64f9,60d60504335901fd827c6878,APPROVED,2023-04-28T16:59:55.147000Z,2023-04-28T17:42:58.131000Z,2023-05-18T17:56:46.011000,2023-04-28T17:42:58.631863Z,2583,C4F2Q1F2,110,29,Female,Black,South Africa,South Africa,South Africa,English,No,Full-Time
644bf9bb5ee4f6efc6ed0b7d,60f49bf5f58a11a68598ba90,APPROVED,2023-04-28T16:52:47.095000Z,2023-04-28T17:24:04.446000Z,2023-05-18T17:56:46.163000,2023-04-28T17:24:04.819439Z,1878,C4F2Q1F2,55,21,Female,White,Czech Republic,Czech Republic,Czech Republic,Czech,Yes,DATA_EXPIRED
644c0e0cbcd676b30d8f0473,5bb511c6689fc5000149c703,APPROVED,2023-04-28T18:19:28.735000Z,2023-04-28T18:54:07.561000Z,2023-05-18T17:56:46.326000,2023-04-28T18:54:08.111636Z,2079,C4F2Q1F2,1052,47,Female,Other,Mexico,Mexico,Mexico,Spanish,DATA_EXPIRED,DATA_EXPIRED
